ลำดับ,ชื่อวัตถุดิบ,สถานะ,อายุการจัดเก็บ,อุณหภูมิ/สถานที่จัดเก็บ,อุปกรณ์ที่จัดเก็บ,ลักษณะตามมาตรฐาน,หมายเหตุ
6,นมสูตร,เตรียมสำเร็จพร้อมขาย,2 วัน,อุณหภูมิเย็น,"เจ็ทสเปรย์, ถุงซีลชา, หม้อสแตนเลส, เหยือก",ขาว เนียน นมไม่จับตัวกันเป็นก้อน และไม่มีกลิ่นบูดเสีย,
6,นมสูตร,ถุงที่เปิดใช้งานแล้ว,7 วัน,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านหนีบให้สนิท,ขาว เนียน นมไม่จับตัวกันเป็นก้อน และไม่มีกลิ่นบูดเสีย,
7,ฟรอสตี้โกลเด้นไทยที,เตรียมสำเร็จพร้อมขาย,36 ชม.,อุณหภูมิเย็น,"เครื่องฟรอสตี้, ถุงซีลชา, หม้อสแตนเลส",มีสีส้มนวลไม่คล้ำ และไม่มีกลิ่นบูดเสีย,
8,ฟรอสตี้อู่หลงไวท์พีช,เตรียมสำเร็จพร้อมขาย,36 ชม.,อุณหภูมิเย็น,"เครื่องฟรอสตี้, ถุงซีลชา, หม้อสแตนเลส",มีสีเหลืองบ๊วยไม่คล้ำ และไม่มีกลิ่นบูดเสีย,
9,เลมอน,ลูกเลมอน,5 วัน,อุณหภูมิห้อง,"โชว์บริเวณแคชเชียร์, ถุงซีลชาล้างสะอาดพร้อมเช็ดให้แห้ง",ลูกเลมอน ไม่ช้ำ และไม่พบเชื้อรา,
9,เลมอน,ลูกเลมอน,7 วัน,อุณหภูมิเย็น,ถุงซีลชาล้างสะอาดพร้อมเช็ดให้แห้ง,ลูกเลมอน ไม่ช้ำ และไม่พบเชื้อรา,
9,เลมอน,น้ำเลมอนพร้อมขาย,1 เดือน,แช่ฟรีซ,"ถุงซิป, ถุงซีลชา",ไม่เป็นฟองและต้องไม่มีความซ่ารสชาติปกติตามมาตรฐาน และเขย่าก่อนใช้งาน,นำน้ำเลมอนจัดเก็บในตู้ฟรีส
9,เลมอน,น้ำเลมอนพร้อมขาย,7 วัน,อุณหภูมิเย็น,"เหยือกแก้ว, ถุงซิป, ถุงซีลชา",ไม่เป็นฟองและต้องไม่มีความซ่ารสชาติปกติตามมาตรฐาน และเขย่าก่อนใช้งาน,นำน้ำเลมอนพร้อมขายจัดเก็บในเหยือกแก้วเท่านั้น
9,เลมอน,เลมอนหั่นแว่น,4 วัน,อุณหภูมิเย็น,"แพนสแตนเลส, ถุงซิป",ไม่หนา หรือ บางจนเกินไป และไม่มีเมล็ด (หั่นได้ 10-12 ชิ้น ต่อ 1 ลูก),
10,น้ำส้ม,ขวดบรรจุภัณฑ์ยังไม่เปิดใช้งาน,1 เดือน,แช่ฟรีซ,ขวดบรรจุภัณฑ์ยังไม่เปิดใช้งาน,ไม่มีเศษเมล็ดและเนื้อปะปน และไม่มีกลิ่นเสีย,ขวดบรรจุภัณฑ์ยังไม่เปิดใช้งาน
10,น้ำส้ม,ขวดบรรจุภัณฑ์ยังไม่เปิดใช้งาน,7 วัน,อุณหภูมิเย็น,ขวดบรรจุภัณฑ์ยังไม่เปิดใช้งาน,ไม่มีเศษเมล็ดและเนื้อปะปน และไม่มีกลิ่นเสีย,
10,น้ำส้ม,ขวดบรรจุภัณฑ์ที่เปิดแล้ว,3 วัน,อุณหภูมิเย็น,ฝาปิดสนิท,ไม่มีเศษเมล็ดและเนื้อปะปน และไม่มีกลิ่นเสีย,
11,น้ำมะพร้าว,เตรียมสำเร็จพร้อมขาย,7 วัน,อุณหภูมิเย็น,"เหยือก, ถุงซีลชา",น้ำมะพร้าวกลิ่นและสีเป็นไปตามมาตรฐาน,
11,ผงน้ำมะพร้าว,บรรจุภัณฑ์เปิดใช้งานแล้ว,12 เดือน,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านหนีบให้สนิท,ผงไม่จับตัวเป็นก้อน และผงไม่มีความชื้น,
11,แยมสตรอเบอร์รี่ Ichigo,บรรจุภัณฑ์ที่ยังไม่เปิดใช้งาน,4 เดือน,แช่ฟรีซ,ถุงบรรจุภัณฑ์ยังไม่เปิดใช้งาน,,ถุงบรรจุภัณฑ์ยังไม่เปิดใช้งาน
11,แยมสตรอเบอร์รี่ Ichigo,บรรจุภัณฑ์ที่ยังไม่เปิดใช้งาน,45 วัน,อุณหภูมิเย็น,ถุงบรรจุภัณฑ์ยังไม่เปิดใช้งาน,,
12,แยมสตรอเบอร์รี่ Ichigo,เตรียมสำเร็จพร้อมขาย,14 วัน,อุณหภูมิเย็น,"แพนสแตนเลส, หม้อสแตนเลส, ขวดบีบ",มีสีและลักษณะตามมาตรฐาน ไม่เป็นฟองและไม่มีกลิ่นเสีย,
12,แยมสตรอเบอร์รี่ Ichigo,บรรจุภัณฑ์แบ่งใช้,14 วัน,อุณหภูมิเย็น,ปิดถุงบรรจุภัณฑ์ด้วยก้านหนีบให้สนิท,,
13,แยมพีชเข้มข้น,แบ่งใช้พร้อมขาย,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,"ขวดบีบ, ขวดบรรจุภัณฑ์หากมีหัวปั๊ม",ลักษณะหนืดตามมาตรฐาน ไม่จับตัวกันเป็นก้อน ไม่มีฟองและไม่มีกลิ่นเหม็น,จัดเก็บในภาชนะที่กำหนดเท่านั้น เขียนวันหมดอายุตามบรรจุภัณฑ์ที่ขวดบีบแบ่งใช้พร้อมขายเสมอ
13,แยมพีชเข้มข้น,บรรจุภัณฑ์เปิดใช้งานแล้ว,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,หากเหลือจากแบ่งไปใส่ขวดบีบ,,
14,เนื้อพีชบด,เนื้อพีชบดพร้อมขาย,7 วัน,อุณหภูมิเย็น,"แพนสแตนเลส, ถุงซิป (บดไว้ในกรณีขายดี)",มีลักษณะบดละเอียดด้วยกระชอน ไม่มีชิ้นขนาดใหญ่ ไม่ใช้เครื่องปั่นในการบด,จัดเก็บในภาชนะที่กำหนดเท่านั้น
15,นมสด,บรรจุภัณฑ์ที่เปิดใช้งาน,ตามอายุบรรจุภัณฑ์,อุณหภูมิเย็น,ปิดฝาสนิท,มีลักษณะเนียน เหลวไม่หนืดหรือจับตัวเป็นก้อน และไม่มีกลิ่นบูดเสีย,
16,นมไขมันต่ำ,บรรจุภัณฑ์ที่เปิดใช้งาน,ตามอายุบรรจุภัณฑ์,อุณหภูมิเย็น,ปิดฝาสนิท,มีลักษณะเนียน เหลวไม่หนืดหรือจับตัวเป็นก้อน และไม่มีกลิ่นบูดเสีย,
17,นมโอ๊ต,บรรจุภัณฑ์ที่เปิดใช้งาน,5 วัน,อุณหภูมิเย็น,ปิดฝาสนิท,มีลักษณะเนียน เหลวไม่หนืดหรือจับตัวเป็นก้อน และไม่มีกลิ่นบูดเสีย,
18,ไข่มุก,ต้มสำเร็จพร้อมขาย,4 ชั่วโมง,อุณหภูมิห้อง,"แพนสแตนเลส, หม้อสแตนเลส",ลักษณะดำ มันวาวไม่จับตัวกันเป็นก้อน เคี้ยวได้ 8-12 ครั้ง มีความนุ่มหนึบ ไม่แข็งเป็นไต,หากมีไตสีขาว หรือ มีชิ้นส่วนที่ไหม้เกรียม ให้ตัดทิ้ง ไม่ให้เสิร์ฟลูกค้า
18,ไข่มุก,บรรจุภัณฑ์ที่เปิดใช้งาน,5 วัน,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านหนีบให้สนิท,ไม่จับตัวเป็นก้อน และไม่มีความชื้น กลิ่นและสีเป็นไปตามมาตรฐาน,
19,วาราบิโมจิ,เตรียมสำเร็จพร้อมขาย,4 ชั่วโมง,อุณหภูมิห้อง,แพนสแตนเลส ปิดฝาสนิท,เนื้อแป้งสุกดีมีลักษณะใส ไม่มีสีขาวขุ่น,
19,วาราบิโมจิ,เตรียมสำเร็จพร้อมขาย,2 วัน,"อุณหภูมิเย็น (ระหว่างวันใส่หม้อหุงข้าว, หลังปิดร้านใส่กล่องสูญญากาศ)",แช่ในน้ำเชื่อม 15 นาที ตัดพร้อมเสิร์ฟในน้ำเชื่อม,,
20,แป้งวาราบิโมจิ,บรรจุภัณฑ์ที่เปิดใช้งาน,6 เดือน,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านหนีบให้สนิท,,
21,แป้งข้าวเหนียว,บรรจุภัณฑ์ที่เปิดใช้งาน,6 เดือน,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านหนีบให้สนิท,,
22,น้ำตาลทรายขาว,บรรจุภัณฑ์ที่เปิดใช้งาน,6 เดือน,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านหนีบให้สนิท,,
23,น้ำตาลทรายแดง,บรรจุภัณฑ์ที่เปิดใช้งาน,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านหนีบให้สนิท,ไม่จับตัวเป็นก้อน และไม่มีความชื้น กลิ่นและสีเป็นไปตามมาตรฐาน,ไม่ต้องระบุวันหมดอายุ
24,ชีส,บรรจุภัณฑ์ที่ยังไม่เปิดใช้งาน,ตามอายุบรรจุภัณฑ์,อุณหภูมิเย็น,กล่องบรรจุภัณฑ์ยังไม่เปิดใช้งาน,กลิ่นและรสชาติปกติในภาชนะไม่มีความชื้น ตัวชีสไม่พบสิ่งแปลกปลอมและเชื้อรา,นับอายุจากวันที่คลังมาส่ง
24,ชีส,หั่นแบ่งใช้,7 วัน,อุณหภูมิเย็น,"กล่องสูญญากาศ, ถุงซีลชา",,
24,ชีส,เตรียมสำเร็จพร้อมขาย,3 วัน,อุณหภูมิเย็น,"แพนสแตนเลส, หม้อสแตนเลส",ขาวเนียน และส่วนผสมเป็นก้อน และไม่เหลวจนเกินไป และไม่มีกลิ่นบูดเสีย,ชีสครีมพร้อมขายจัดเก็บในภาชนะที่กำหนดเท่านั้น
25,ไมแลค,บรรจุภัณฑ์ที่เปิดใช้งาน,7 วัน,อุณหภูมิเย็น,ปิดฝาสนิท,ขาวเนียน ไม่มีเกล็ด และส่วนผสมเป็นก้อน และไม่มีกลิ่นบูดเสีย,
25,ไมแลค,แบ่งใช้พร้อมขาย,3 วัน,อุณหภูมิเย็น,ขวดบีบ,ขาวเนียน นมไม่จับตัวกันเป็นก้อน และไม่มีกลิ่นบูดเสีย,
26,ฟอสซิล,แบ่งใช้พร้อมขาย,7 วัน,อุณหภูมิเย็น,ถุงบรรจุภัณฑ์พร้อมก้านหนีบถุงให้สนิท,เป็นเม็ดไม่จับตัวกันเป็นก้อน ไม่ชื้นและไม่มีกลิ่นเหม็น,อุณหภูมิแช่เย็น ฟอสซิลยังไม่เปิดใช้ไม่ต้องระบุวันหมดอายุ
26,ฟอสซิล,บรรจุภัณฑ์เปิดใช้งานแล้ว,1 เดือน,อุณหภูมิเย็น,แพนสแตนเลสปิดฝาอุณหภูมิแช่เย็น,,
26,ฟอสซิล,บรรจุภัณฑ์ที่ยังไม่เปิดใช้งาน,ตามบรรจุภัณฑ์,แช่ฟรีซ,ถุงบรรจุภัณฑ์ยังไม่เปิดใช้งาน,,
27,คริสตัลเพิร์ล,แบ่งใช้พร้อมขาย,4 วัน,อุณหภูมิเย็น,แพนสแตนเลส,ลักษณะขาวใส น้ำเชื่อมไม่ขุ่นและหนืดเป็นก้อน รสชาติปกติตามมาตรฐาน ไม่เปรี้ยว,
27,คริสตัลเพิร์ล,บรรจุภัณฑ์เปิดใช้งานแล้ว,14 วัน,อุณหภูมิเย็น,ปิดถุงบรรจุภัณฑ์ด้วยก้านให้สนิท,,
28,อ้ายหยูน้ำผึ้ง,เตรียมสำเร็จพร้อมขาย,3 วัน,อุณหภูมิเย็น,ถ้วยท็อปปิ้งปิดฝาให้สนิท,สีเหลืองใส หอมกลิ่นน้ำผึ้งไม่อ่อนหรือเจือจางเกินไป,
28,อ้ายหยูน้ำผึ้ง,บรรจุภัณฑ์เปิดใช้งานแล้ว,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านให้สนิท,,
29,ดัลโกน่า,แบ่งใช้พร้อมขาย,1 เดือน,อุณหภูมิเย็น,"กล่อง Lock&Lock, ถุงบรรจุภัณฑ์ปิดถุงด้วยก้านให้สนิท",เป็นก้อน ไม่ชื้น ไม่คล้ำและไม่มีกลิ่นเหม็นหืน,
29,ดัลโกน่า,บรรจุภัณฑ์ยังไม่เปิดใช้งาน,2 เดือน,อุณหภูมิเย็น,ปิดถุงบรรจุภัณฑ์ด้วยก้านให้สนิท,,
30,คุกกี้ครัมเบิ้ล,แบ่งใช้พร้อมขาย,7 วัน,อุณหภูมิห้อง,กระปุกสูญญากาศ,ลักษณะร่วน ไม่มีความชื้น ไม่มีกลิ่นเหม็นหืนและเชื้อรา,
30,คุกกี้ครัมเบิ้ล,ถุงบรรจุภัณฑ์เปิดใช้งานแล้ว,1 เดือน,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านให้สนิท,,
30,คุกกี้ครัมเบิ้ล,ถุงบรรจุภัณฑ์ยังไม่เปิดใช้งาน,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,ถุงบรรจุภัณฑ์ยังไม่เปิดใช้งาน,,คุกกี้ครัมเบิ้ลยังไม่เปิดใช้งาน ไม่ต้องระบุวันหมดอายุ
31,น้ำเชื่อมคามุ,แบ่งใช้พร้อมขาย,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,แกลลอนน้ำเชื่อม,ลักษณะหนืดตามมาตรฐาน ไม่จับตัวกันเป็นก้อน ไม่มีฟองและไม่มีกลิ่นเหม็น,ไม่ต้องระบุวันหมดอายุ
31,น้ำเชื่อมคามุ,ถุงบรรจุภัณฑ์เปิดใช้งานแล้ว,ตามอายุบรรจุภัณฑ์,อุณหภูมิเย็น,ปิดถุงบรรจุภัณฑ์ด้วยก้านให้สนิท,,
32,น้ำเชื่อมวาราบิโมจิ,เตรียมสำเร็จพร้อมขาย,1 วัน,อุณหภูมิห้อง,"แพนสแตนเลส, เหยือก, ถุงซิป",ลักษณะหนืดตามมาตรฐาน ไม่จับตัวกันเป็นก้อน ไม่มีฟองและไม่มีกลิ่นเหม็น,
33,นมข้นหวาน,แบ่งใช้งานพร้อมขาย,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,ขวดบีบ,ลักษณะหนืดตามมาตรฐาน ไม่จับตัวกันเป็นก้อน ไม่มีฟองและไม่มีกลิ่นเหม็น,ไม่ระบุวันหมดอายุแช่เย็นทุกครั้งหลังปิดร้าน
33,นมข้นหวาน,ถุงบรรจุภัณฑ์เปิดใช้งานแล้ว,ตามอายุบรรจุภัณฑ์,อุณหภูมิเย็น,ปิดถุงบรรจุภัณฑ์ด้วยก้านให้สนิท,,ไม่ระบุวันหมดอายุ
34,น้ำผึ้ง,แบ่งใช้งานพร้อมขาย,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,ขวดบีบ,ลักษณะหนืดตามมาตรฐาน ไม่มีฟองไม่มีกลิ่นบูดเสียและไม่มีสิ่งแปลกปลอม,จัดเก็บในภาชนะที่กำหนดเท่านั้น
35,แอปเปิ้ลไซรัป,แบ่งใช้งานพร้อมขาย,18 เดือน,อุณหภูมิเย็น,ขวดบีบ,ลักษณะหนืดตามมาตรฐาน ไม่มีฟองและไม่มีกลิ่นบูดเสีย,
35,แอปเปิ้ลไซรัป,บรรจุภัณฑ์เปิดใช้งานแล้ว,18 เดือน,อุณหภูมิเย็น,หากเหลือจากแบ่งไปใส่ขวดบีบ,ลักษณะหนืดตามมาตรฐาน ไม่มีฟองและไม่มีกลิ่นบูดเสีย,
36,ซอลท์เทดคาราเมล,บรรจุภัณฑ์เดิมเปิดใช้งานแล้ว,ตามอายุบรรจุภัณฑ์,อุณหภูมิเย็น (ระหว่างวันอุณหภูมิห้อง),บรรจุภัณฑ์เดิม,ลักษณะหนืดตามมาตรฐาน ไม่จับตัวกันเป็นก้อน ไม่มีฟองและไม่มีกลิ่นเหม็น,"ระหว่างวันจัดเก็บในอุณหภูมิห้องได้, หลังปิดการขายให้จัดเก็บแช่เย็น"
37,ผงไมโล,แบ่งใช้งานพร้อมขาย,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,กระปุกสูญญากาศ,ไม่จับตัวเป็นก้อน และไม่มีความชื้น กลิ่นและสีเป็นไปตามมาตรฐาน,
38,ผงโกโก้,แบ่งใช้งานพร้อมขาย,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,กระปุกสูญญากาศ,ไม่จับตัวเป็นก้อน และไม่มีความชื้น กลิ่นและสีเป็นไปตามมาตรฐาน,
39,ผงมัทฉะ,แบ่งใช้งานพร้อมขาย,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,กระปุกสูญญากาศ,ไม่จับตัวเป็นก้อน และไม่มีความชื้น กลิ่นและสีเป็นไปตามมาตรฐาน,จัดเก็บในกระปุกสูญญากาศไม่เกิน 500 g. ไม่ต้องระบุวันหมดอายุ
39,ผงมัทฉะ,ถุงบรรจุภัณฑ์เปิดใช้งานแล้ว,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านให้สนิท,ไม่จับตัวเป็นก้อน และไม่มีความชื้น กลิ่นและสีเป็นไปตามมาตรฐาน,
40,เมล็ดกาแฟ,แบ่งใช้งานพร้อมขาย,1 วัน,อุณหภูมิห้อง,บรรจุในโหลบดกาแฟ,ไม่มีความชื้นด้านในภาชนะไม่มีกลิ่นเหม็นหืน,
40,เมล็ดกาแฟ,แบ่งใช้งานพร้อมขาย,7 วัน,อุณหภูมิห้อง,"กระปุกสูญญากาศ, ถุงบรรจุภัณฑ์ปิดด้วยก้านให้สนิท",ไม่มีความชื้นด้านในภาชนะไม่มีกลิ่นเหม็นหืน,
40,เมล็ดกาแฟ,บดแล้ว,15 นาที,อุณหภูมิห้อง,กระปุกสูญญากาศ,ไม่มีความชื้นด้านในภาชนะไม่มีกลิ่นเหม็นหืน,สามารถบดกาแฟทิ้งไว้ในช่วงพีคไทม์ได้เฉพาะสาขา ENCO ตาม MEMO เท่านั้น
41,เกลือ,บรรจุภัณฑ์เปิดใช้งานแล้ว,ตามบรรจุภัณฑ์,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านให้สนิท,ไม่จับตัวเป็นก้อน และไม่มีความชื้น กลิ่นและสีเป็นไปตามมาตรฐาน,
42,น้ำดื่มคามุ,บรรจุภัณฑ์,ตามบรรจุภัณฑ์,อุณหภูมิเย็น,ฝาปิดสนิท,ไม่ผ่านการใช้งาน ใส สะอาด ขวดไม่บุบ ไม่รั่วไม่มีสิ่งแปลกปลอม,
NPD-1,ผงโยเกิร์ต,แบ่งใช้งานพร้อมขาย,3 เดือน,อุณหภูมิห้อง,กระปุกสูญญากาศ,ไม่จับตัวเป็นก้อน และไม่มีความชื้น กลิ่นและสีเป็นไปตามมาตรฐาน,
NPD-2,เนยถั่ว,เตรียมสำเร็จพร้อมขาย,2 วัน,อุณหภูมิเย็น,"แพนสแตนเลส, ถ้วยท็อปปิ้ง (ซอสสำเร็จ)",เนื้อครีมไม่เหลวไม่เป็นเกล็ด และไม่มีกลิ่นเหม็นหืน,
NPD-2,เนยถั่ว,บรรจุภัณฑ์เปิดใช้งานแล้ว,3 เดือน,อุณหภูมิเย็น,ปิดฝาสนิท,,
NPD-3,บิสคอฟสเปรด,เตรียมสำเร็จพร้อมขาย,2 วัน,อุณหภูมิเย็น,"แพนสแตนเลส, ถ้วยท็อปปิ้ง (ซอสสำเร็จ)",เนื้อครีมไม่เหลวไม่เป็นเกล็ด และไม่มีกลิ่นเหม็นหืน,
NPD-3,บิสคอฟสเปรด,บรรจุภัณฑ์เปิดใช้งานแล้ว,3 เดือน,อุณหภูมิเย็น,ปิดฝาสนิท,,
NPD-4,คุกกี้บิสคอฟ,แบ่งใช้พร้อมขาย,7 วัน,อุณหภูมิห้อง,กระปุกสูญญากาศ,ลักษณะร่วน ไม่มีความชื้น ไม่มีกลิ่นเหม็นหืนและเชื้อรา,คุกกี้บิสคอฟยังไม่เปิดใช้งาน ไม่ต้องระบุวันหมดอายุ
NPD-4,คุกกี้บิสคอฟ,ถุงบรรจุภัณฑ์เปิดใช้งานแล้ว,1 เดือน,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านให้สนิท,,
NPD-4,คุกกี้บิสคอฟ,ถุงบรรจุภัณฑ์ยังไม่เปิดใช้งาน,ตามอายุบรรจุภัณฑ์,อุณหภูมิห้อง,ถุงบรรจุภัณฑ์ยังไม่เปิดใช้งาน,,
NPD-5,ข้าวไรซ์เบอรี่มะพร้าวอ่อน,บรรจุภัณฑ์ยังไม่เปิดใช้งาน,9 เดือน,แช่ฟรีซ,ถุงบรรจุภัณฑ์ยังไม่เปิดใช้งาน,ข้าวสีม่วงเข้ม เนื้อนุ่ม มีเนื้อมะพร้าวอ่อนสม่ำเสมอ มีกลิ่นหอมของกะทิและมะพร้าว,นับอายุจากวันที่คลังมาส่ง
NPD-5,ข้าวไรซ์เบอรี่มะพร้าวอ่อน,บรรจุภัณฑ์ยังไม่เปิดใช้งาน,7 วัน,อุณหภูมิเย็น,ถุงบรรจุภัณฑ์ยังไม่เปิดใช้งาน,,
NPD-5,ข้าวไรซ์เบอรี่มะพร้าวอ่อน,ต้มพร้อมขาย,2 วัน,อุณหภูมิเย็น,แพนสแตนเลส,,
NPD-6,กะทิผง,ถุงบรรจุภัณฑ์เปิดใช้งานแล้ว,1 เดือน,อุณหภูมิห้อง,ปิดถุงบรรจุภัณฑ์ด้วยก้านให้สนิท,ลักษณะร่วน ไม่มีความชื้น ไม่มีกลิ่นเหม็นหืนและเชื้อรา,
NPD-7,ครีมชีสมะพร้าว,เตรียมสำเร็จพร้อมขาย,1 วัน,อุณหภูมิเย็น,แพนสแตนเลส,ขาวเนียน และส่วนผสมเป็นก้อน และไม่เหลวจนเกินไป และไม่มีกลิ่นบูดเสีย,สามารถจัดเตรียมไว้สำหรับช่วงพีคไทม์ไม่เกิน 10 สูตร
NPD-8,Coffee Cherry ,บรรจุภัณฑ์เปิดใช้งานแล้ว,1 เดือน,อุณหภูมิเย็น,ปิดถุงบรรจุภัณฑ์ด้วยก้านหนีบให้สนิท,กลิ่นและสีตามมาตรฐาน ไม่มีเชื้อรา ไม่มีกลิ่นเหม็น,
NPD-8,Coffee Cherry ,แบ่งใช้พร้อมขาย,1 เดือน,อุณหภูมิเย็น,ใส่ขวดบีบปิดให้สนิท,กลิ่นและสีตามมาตรฐาน ไม่มีเชื้อรา ไม่มีกลิ่นเหม็น,
